username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
ajith.thomas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Sunita,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0.0
Dakksh,6,3,0,1,8,6,4,0,0,0,0,0,0,0,0.0
arc_2004,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0.0
21f3002104,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0.0
22f1001753,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
22f3000608,1,1,0,0,8,9,0,0,0,0,0,0,0,0,0.0
Saranyanayak,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
pritam,8,0,0,1,6,3,1,0,0,0,0,0,0,0,0.0
22f1000533,0,2,0,5,1,18,1,0,0,0,0,0,0,0,0.0
22f2000268,0,2,0,2,1,5,0,0,0,0,0,0,0,0,0.0
papadelta_5636,2,4,0,0,4,0,0,0,0,0,0,1,0,0,1.0
21f3002975,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Nidhi,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0.0
22f1001661,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
db01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
shadow,0,0,0,1,6,2,3,0,0,0,0,0,0,0,0.0
AkashV,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0.0
Ankush10,0,1,0,1,0,14,0,0,0,0,0,0,0,0,0.0
Aditya_Patel,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0
22f1001447,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0.0
Rockey_Prabhakaran,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0
23f1001709,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
21f3000959,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0.0
ChandrasekarTS,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0
22f1001881,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
Dixon,0,4,0,0,3,3,24,0,0,0,0,0,0,0,0.0
SHREY_MUKUND,0,0,0,2,6,5,0,0,0,0,0,0,0,0,0.0
Unrael,5,1,0,2,13,15,1,0,0,0,0,0,0,0,0.0
